Symbol,Series,Date,Prev Close,Close Price
TATAMOTORS,EQ,17-Feb-2021,329.2,330.15
TATAMOTORS,EQ,18-Feb-2021,330.15,323.85
TATAMOTORS,EQ,19-Feb-2021,323.85,311.85
TATAMOTORS,EQ,22-Feb-2021,311.85,304.5
TATAMOTORS,EQ,23-Feb-2021,304.5,324
TATAMOTORS,EQ,24-Feb-2021,324,321.65
TATAMOTORS,EQ,25-Feb-2021,321.65,333.15
TATAMOTORS,EQ,26-Feb-2021,333.15,322.95
TATAMOTORS,EQ,01-Mar-2021,322.95,328.3
TATAMOTORS,EQ,02-Mar-2021,328.3,345.75
TATAMOTORS,EQ,03-Mar-2021,345.75,348.5
TATAMOTORS,EQ,04-Mar-2021,348.5,339.2
TATAMOTORS,EQ,05-Mar-2021,339.2,325.15
TATAMOTORS,EQ,08-Mar-2021,325.15,321.25
TATAMOTORS,EQ,09-Mar-2021,321.25,315.2
TATAMOTORS,EQ,10-Mar-2021,315.2,321.45
TATAMOTORS,EQ,12-Mar-2021,321.45,317.55
TATAMOTORS,EQ,15-Mar-2021,317.55,318.55
TATAMOTORS,EQ,16-Mar-2021,318.55,319.95
TATAMOTORS,EQ,17-Mar-2021,319.95,305.8
TATAMOTORS,EQ,18-Mar-2021,305.8,307
TATAMOTORS,EQ,19-Mar-2021,307,308.95
TATAMOTORS,EQ,22-Mar-2021,308.95,303.05
TATAMOTORS,EQ,23-Mar-2021,303.05,307.4
TATAMOTORS,EQ,24-Mar-2021,307.4,294.45
TATAMOTORS,EQ,25-Mar-2021,294.45,285.55
TATAMOTORS,EQ,26-Mar-2021,285.55,296.4
TATAMOTORS,EQ,30-Mar-2021,296.4,297.05
TATAMOTORS,EQ,31-Mar-2021,297.05,301.8
TATAMOTORS,EQ,01-Apr-2021,301.8,307.75
TATAMOTORS,EQ,05-Apr-2021,307.75,305.05
TATAMOTORS,EQ,06-Apr-2021,305.05,307.75
